apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,id,source_url,source_section,scan_date
8,7,3,228,4-C,5.5,144.26,23.94,כן,7.75,2,מערב/צפון,"2,044,426 ₪",,,B7-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
9,7,3,228,4-D,5.5,141.28,23.90,כן,8.11,2,מערב/דרום,"2,008,607 ₪",,,B7-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
10,7,3,228,4-E,5,125.03,18.41,כן,8.92,2,צפון/מזרח,"1,760,437 ₪",,,B7-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
11,7,3,228,4-F,3,82.83,23.91,כן,8.46,2,מזרח,"1,162,264 ₪",,,B7-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
12,7,3,228,4-G,3,83.90,23.90,כן,9.81,2,דרום/מזרח,"1,181,443 ₪",,,B7-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
13,7,4,228,4-C,5.5,144.26,23.94,כן,7.71,2,מערב/צפון,"2,056,333 ₪",,,B7-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
14,7,4,228,4-D,5.5,141.28,23.90,כן,8.09,2,מערב/דרום,"2,020,449 ₪",,,B7-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
15,7,4,228,4-E,5,125.03,18.41,כן,8.90,2,צפון/מזרח,"1,770,993 ₪",,,B7-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
16,7,4,228,4-F,3,82.83,23.91,כן,9.75,2,מזרח,"1,174,476 ₪",,,B7-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
17,7,4,228,4-G,3,83.90,23.90,כן,9.74,2,דרום/מזרח,"1,187,228 ₪",,,B7-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
18,7,5,228,4-C,5.5,144.26,23.94,כן,7.53,2,מערב/צפון,"2,067,394 ₪",,,B7-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
19,7,5,228,4-D,5.5,141.28,23.90,כן,7.98,2,מערב/דרום,"2,031,747 ₪",,,B7-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
20,7,5,228,4-E,5,125.03,18.41,כן,8.87,2,צפון/מזרח,"1,781,487 ₪",,,B7-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
